id,Tiêu đề,Giá,Khoảng giá min,Khoảng giá max,Địa chỉ,Mô tả chi tiết,Thương hiệu,Dòng xe,Năm đăng ký,Số Km đã đi,Tình trạng,Loại xe,Dung tích xe,Xuất xứ,Chính sách bảo hành,Trọng lượng,Href
309,Cần bán xe Honda Airblade 2014,16.000.000 đ,15.19 tr,17.83 tr,"Phường 3, Quận 4, Tp Hồ Chí Minh",Xe chính chủ đang xử dụng. Tình trạng tốt. Bảo dưỡng tại Honda Phát Tiến.,Honda,Air Blade,2014,100496,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/124030731.htm
382,xe xuống áo,14.500.000 đ,15.8 tr,18.55 tr,"Phường 4, Quận 4, Tp Hồ Chí Minh",Xe 2011 bs thành phố không sang tên xe chạy êm,Yamaha,Exciter,2011,20000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-4-tp-ho-chi-minh/123239812.htm
1840,Xe cub 78,1.500.000 đ,6.82 tr,8.01 tr,"Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","Xe cub78 
09chủ 
sdt *** 
Tặng ae sườn MD50 còn đẹp cứng",Honda,Cub,trước năm 1980,9999,Đã sử dụng,Xe số,Dưới 50 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/125036349.htm
3439,ab 2020 bstp 9c,32.000.000 đ,29.9 tr,35.1 tr,"Phường 25, Quận Bình Thạnh, Tp Hồ Chí Minh",Xe zin đẹp . Bọc keo nguyên con ace nào thích lh e .,Honda,Air Blade,2020,13000,Đã sử dụng,Tay ga,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123528782.htm
252,Vespa LX 125 ie đèn vuông đời đầu phun xăng FI,13.000.000 đ,7.2 tr,8.45 tr,"Phường 5, Quận 3, Tp Hồ Chí Minh","Bán Piaggio LX 125 ie màu đen, đăng ký lần đầu 2011 bstp, odo 20.000km, xe rất ít khi chạy, xem xe, kiểm tra xe, mua bán tại nhà, giá mình bán 13tr",Piaggio,LX,2011,20000,Đã sử dụng,Tay ga,100 - 175 cc,Đang cập nhật,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-3-tp-ho-chi-minh/123338427.htm
3440,vespa sprtin,48.800.000 đ,36.61 tr,42.98 tr,"Phường 5, Quận Bình Thạnh, Tp Hồ Chí Minh","Loại xe:vespa sprtin ( ae trả trước 60% xe lấy xe về chạy)
- Date : 2018
- Màu sắc : Hồng Pink
- Odo : 22k
- Bs : # 59X3 30703 ( gánh)
 - Cam kết Máy móc nguyên zin bao chưa đụng chạm bất cứ thứ gì .
- Bảo hành máy móc 6th, điện lửa sạc 3th , bình acquy 2th . 
- Hỗ trợ sang tên rút hồ sơ nếu quý khách có yêu cầu .
- Hỗ trợ trực tiếp cửa hàng hoặc qua Ngân Hàng
- Địa chỉ + sdt : 45A2 Nguyễn Thượng Hiền , P5 , Quận Bình Thạnh .
- Hỗ trợ vận chuyển cho ae các tỉnh .",Piaggio,Vespa,2018,2222,Đã sử dụng,Tay ga,100 - 175 cc,Nước khác,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-binh-thanh-tp-ho-chi-minh/123525032.htm
6034,Về quê cần bán Exciter giấy tờ đầy đủ,14.500.000 đ,15.73 tr,18.46 tr,"Phường Hiệp Bình Phước (Quận Thủ Đức cũ), Thành phố Thủ Đức, Tp Hồ Chí Minh","Do thất nghiệp nên cần bán lại Exciter đời 2017 máy móc zin chưa đụng chạm gì, ngoại hình còn đẹp mới, trước mua ngay chủ nhưng không có thời gian đi sang tên, nay bán lại bao tranh chấp có cccd chủ ai cần liên hệ trực tiếp",Yamaha,Exciter,2017,1122,Đã sử dụng,Tay ga,100 - 175 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-thanh-pho-thu-duc-tp-ho-chi-minh/118708747.htm
1353,Cần bán xe spacy cũ,1.500.000 đ,19.75 tr,23.19 tr,"Phường 4, Quận 8, Tp Hồ Chí Minh","Đổi xe mới, nên em cần bán lại chiếc spacy cũ.
Xe của nhật, lâu đời. Xe vẫn còn chạy được.",Honda,Spacy,2000,100000,Đã sử dụng,Tay ga,50 - 100 cc,Nhật Bản,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-8-tp-ho-chi-minh/123489619.htm
6377,Suzuki raider zin,18.000.000 đ,14.25 tr,16.73 tr,"Xã An Phú Tây, Huyện Bình Chánh, Tp Hồ Chí Minh","Địa chỉ: tphcm. huyện bình chánh, cách chợ hưng long 800m. cách chợ bình chánh 3km. ai quan tâm đừng tiếc 1 cuộc gọi nhé .",Suzuki,Raider,2017,23000,Đã sử dụng,Tay côn/Moto,100 - 175 cc,Việt Nam,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-huyen-binh-chanh-tp-ho-chi-minh/123382734.htm
2058,Atila chạy còn rất ngon,2.500.000 đ,3 tr,3.52 tr,"Phường Hiệp Thành, Quận 12, Tp Hồ Chí Minh","Atila mới bảo dưỡng chạy ngon ok
Bán giao cavec bao tranh chấp.
Xem xe 389/ Lê Văn Khương, Q12",SYM,Attila,2008,12345,Đã sử dụng,Tay ga,100 - 175 cc,Đài Loan,Bảo hành hãng,> 50 kg,https://xe.chotot.com/mua-ban-xe-may-quan-12-tp-ho-chi-minh/123515204.htm
